"Suburb","2018_Suburb_Population","2019_Suburb_Population","2020_Suburb_Population","2021_Suburb_Population","Number_of_Crime_Records_Sep2016_to_Aug2021","Number_of_Victims_Sep2016_to_Aug2021","Number_of_Crime_Types_Sep2016_to_Aug2021","Num_of_Crimes_per_1000_People","Num_of_Crime_Victims_per_1000_People"
"South New Brighton",3330,3290,3270,3280,NA,NA,NA,NA,NA
"Southbridge",2590,2590,2650,2610,34,36,4,12.8301886792453,13.5849056603774
"Southbrook",800,800,810,810,438,457,6,540.740740740741,564.197530864198
"Sovereign Palms",3530,3750,3860,3900,NA,NA,NA,NA,NA
"Spreydon North",3940,3990,4040,4000,NA,NA,NA,NA,NA
"Spreydon South",2430,2480,2470,2460,NA,NA,NA,NA,NA
"Spreydon West",3200,3230,3240,3180,NA,NA,NA,NA,NA
"Springston",2230,2230,2290,2300,265,281,5,115.720524017467,122.707423580786
"St Albans East",3140,3250,3300,3300,1163,1247,6,352.424242424242,377.878787878788
"St Albans North",2230,2210,2220,2210,NA,NA,NA,NA,NA
"St Albans West",2670,2700,2720,2680,552,604,5,202.941176470588,222.058823529412
"St Martins",2800,2800,2800,2770,821,878,6,293.214285714286,313.571428571429
"Starvation Hill-Cust",2290,2330,2400,2440,NA,NA,NA,NA,NA
"Strowan",3600,3600,3600,3560,655,706,5,181.944444444444,196.111111111111
"Styx",1110,1090,1070,1070,495,536,6,462.616822429907,500.934579439252
"Sumner",3670,3670,3670,3600,543,592,6,147.956403269755,161.307901907357
"Swannanoa-Eyreton",990,1000,1030,1030,NA,NA,NA,NA,NA
"Sydenham Central",150,390,400,400,NA,NA,NA,NA,NA
"Sydenham North",2110,2120,2150,2180,NA,NA,NA,NA,NA
"Sydenham South",2900,2900,2900,2840,NA,NA,NA,NA,NA
"Sydenham West",1360,1380,1370,1330,NA,NA,NA,NA,NA
"Tai Tapu",1210,1280,1330,1330,NA,NA,NA,NA,NA
"Teddington",240,250,260,260,NA,NA,NA,NA,NA
"Templeton",1840,1820,1820,1790,155,174,6,85.1648351648352,95.6043956043956
"Temuka East",2380,2390,2410,2410,NA,NA,NA,NA,NA
"Temuka West",2220,2220,2240,2260,NA,NA,NA,NA,NA
"Timaru Central",430,430,440,430,NA,NA,NA,NA,NA
"Timaru East",310,310,310,320,NA,NA,NA,NA,NA
"Tinwald North",1210,1250,1280,1310,NA,NA,NA,NA,NA
"Tinwald South",2420,2430,2450,2410,NA,NA,NA,NA,NA
"Torlesse",1210,1240,1270,1270,NA,NA,NA,NA,NA
"Tower Junction",120,240,230,230,NA,NA,NA,NA,NA
"Travis Wetlands",2450,2430,2410,2410,NA,NA,NA,NA,NA
"Trents",1980,1990,2010,2000,NA,NA,NA,NA,NA
"Tuahiwi",980,970,990,980,134,139,5,135.353535353535,140.40404040404
"Twizel",1530,1600,1660,1660,NA,NA,NA,NA,NA
"Upper Hurunui",1510,1520,1530,1530,NA,NA,NA,NA,NA
"Upper Riccarton",1830,1850,1880,1880,1158,1265,5,615.957446808511,672.872340425532
"Waikuku",1680,1710,1900,2140,111,119,5,58.421052631579,62.6315789473684
"Waimairi Beach",1340,1340,1330,1320,562,602,6,422.556390977444,452.631578947368
"Waimataitai-Maori Hill",2100,2120,2140,2120,NA,NA,NA,NA,NA
"Waimate East",1670,1680,1670,1690,NA,NA,NA,NA,NA
"Waimate North",520,520,530,530,NA,NA,NA,NA,NA
"Waimate West",1380,1390,1390,1390,NA,NA,NA,NA,NA
"Wainoni",2900,2890,2890,2850,1232,1300,6,426.297577854671,449.826989619377
"Waitikiri",2790,2800,2820,2800,NA,NA,NA,NA,NA
"Waitohi (Timaru district)",1810,1810,1820,1850,NA,NA,NA,NA,NA
"Waltham",2030,2070,2100,2050,781,846,5,371.904761904762,402.857142857143
"Washdyke",1050,1080,1110,1140,334,342,5,300.900900900901,308.108108108108
"Watlington",2320,2320,2320,2300,172,180,6,74.1379310344827,77.5862068965517
"West Eyreton",1500,1500,1530,1550,98,100,3,64.0522875816993,65.359477124183
"West Melton",2210,2380,2530,2530,788,821,4,311.462450592885,324.505928853755
"Westmorland",2250,2320,2400,2410,90,101,4,37.5,42.0833333333333
"Wharenui",2920,2900,2880,2840,611,643,5,212.152777777778,223.263888888889
"Wigram East",830,870,910,930,NA,NA,NA,NA,NA
"Wigram North",660,720,810,910,NA,NA,NA,NA,NA
"Wigram South",1410,1430,1470,1470,NA,NA,NA,NA,NA
"Wigram West",1510,1550,1600,1640,NA,NA,NA,NA,NA
"Winchmore-Wakanui",1600,1620,1650,1680,NA,NA,NA,NA,NA
"Woodend",2860,2880,2960,3190,269,281,6,90.8783783783784,94.9324324324324
"Woolston East",3330,3350,3360,3300,NA,NA,NA,NA,NA
"Woolston North",3540,3550,3570,3500,NA,NA,NA,NA,NA
"Woolston South",530,520,520,510,753,787,6,1448.07692307692,1513.46153846154
"Woolston West",1260,1270,1280,1270,1155,1216,6,902.34375,950
"Yaldhurst",1660,1670,1740,1920,1094,1264,6,628.735632183908,726.436781609195
